desktop_id,repos
com.github.FontManager.FontViewer,extra
com.github.PintaProject.Pinta,extra
com.github.Trummerschlunk.Master_me,extra
com.github.babluboy.bookworm,extra
com.github.baresip,extra
com.github.bvschaik.julius,extra
com.github.fabiocolacio.marker,extra
com.github.finefindus.eyedropper,extra
com.github.flxzt.rnote,extra
com.github.hluk.copyq,extra
com.github.hugolabe.Wike,extra
com.github.huluti.Curtail,extra
com.github.iwalton3.jellyfin-mpv-shim,extra
com.github.jeromerobert.pdfarranger,extra
com.github.johnfactotum.Foliate,extra
com.github.junrrein.PDFSlicer,extra
com.github.keriew.augustus,extra
com.github.maoschanz.drawing,extra
com.github.muriloventuroso.pdftricks,extra
com.github.pdesaulniers.wolf-shaper,extra
com.github.persepolisdm.persepolis,extra
com.github.phase1geo.minder,extra
com.github.philip_scott.notes-up,extra
com.github.philip_scott.spice-up,extra
com.github.pulseaudio-equalizer-ladspa.Equalizer,extra
com.github.rafostar.Clapper,extra
com.github.rlancaste.stellarsolver,extra
com.github.robertsanseries.ciano,extra
com.github.tchx84.Flatseal,extra
com.github.unrud.VideoDownloader,extra
com.github.wwmm.easyeffects,extra
com.github.xournalpp.xournalpp,extra
com.gitlab.tipp10.tipp10,extra
com.governikus.ausweisapp2,extra
com.juce_projucer,extra
com.libretro.RetroArch,extra
com.mardojai.ForgeSparks,extra
com.mattjakeman.ExtensionManager,extra
com.microsoft.edit,extra
com.mitchellh.ghostty,extra
com.moonlight_stream.Moonlight,extra
com.nextcloud.desktopclient.nextcloud,extra
com.obsproject.Studio,extra
com.rafaelmardojai.Blanket,extra
com.rafaelmardojai.SharePreview,extra
com.rafaelmardojai.WebfontKitGenerator,extra
com.ranfdev.DistroShelf,extra
com.raspberrypi.rpi-imager,extra
com.rosegardenmusic.rosegarden,extra
com.system76.CosmicAppLibrary,extra
com.system76.CosmicAppList,extra
com.system76.CosmicAppletA11y,extra
com.system76.CosmicAppletAudio,extra
com.system76.CosmicAppletBattery,extra
com.system76.CosmicAppletBluetooth,extra
com.system76.CosmicAppletInputSources,extra
com.system76.CosmicAppletMinimize,extra
com.system76.CosmicAppletNetwork,extra
com.system76.CosmicAppletNotifications,extra
com.system76.CosmicAppletPower,extra
com.system76.CosmicAppletStatusArea,extra
com.system76.CosmicAppletTiling,extra
com.system76.CosmicAppletTime,extra
com.system76.CosmicAppletWorkspaces,extra
com.system76.CosmicEdit,extra
com.system76.CosmicFiles,extra
com.system76.CosmicInitialSetup,extra
com.system76.CosmicLauncher,extra
com.system76.CosmicMonitor,extra
com.system76.CosmicPanelAppButton,extra
com.system76.CosmicPanelLauncherButton,extra
com.system76.CosmicPanelWorkspacesButton,extra
com.system76.CosmicPlayer,extra
com.system76.CosmicScreenshot,extra
com.system76.CosmicSettings,extra
com.system76.CosmicSettings.About,extra
com.system76.CosmicSettings.Accessibility,extra
com.system76.CosmicSettings.Appearance,extra
com.system76.CosmicSettings.Applications,extra
com.system76.CosmicSettings.Bluetooth,extra
com.system76.CosmicSettings.DateTime,extra
com.system76.CosmicSettings.DefaultApps,extra
com.system76.CosmicSettings.Desktop,extra
com.system76.CosmicSettings.Displays,extra
com.system76.CosmicSettings.Dock,extra
com.system76.CosmicSettings.Input,extra
com.system76.CosmicSettings.Keyboard,extra
com.system76.CosmicSettings.LegacyApplications,extra
com.system76.CosmicSettings.Mouse,extra
com.system76.CosmicSettings.Network,extra
com.system76.CosmicSettings.Notifications,extra
com.system76.CosmicSettings.Panel,extra
com.system76.CosmicSettings.Power,extra
com.system76.CosmicSettings.RegionLanguage,extra
com.system76.CosmicSettings.Sound,extra
com.system76.CosmicSettings.StartupApps,extra
com.system76.CosmicSettings.System,extra
com.system76.CosmicSettings.Time,extra
com.system76.CosmicSettings.Touchpad,extra
com.system76.CosmicSettings.Users,extra
com.system76.CosmicSettings.Vpn,extra
com.system76.CosmicSettings.Wallpaper,extra
com.system76.CosmicSettings.WindowManagement,extra
com.system76.CosmicSettings.Wired,extra
com.system76.CosmicSettings.Wireless,extra
com.system76.CosmicSettings.Workspaces,extra
com.system76.CosmicStore,extra
com.system76.CosmicTerm,extra
com.system76.CosmicWorkspaces,extra
com.uploadedlobster.peek,extra
com.x42_plugins.x42_darc,extra
com.x42_plugins.x42_dpl,extra
com.x42_plugins.x42_fat1,extra
com.x42_plugins.x42_fil4,extra
com.x42_plugins.x42_matrixmixer8x8,extra
com.x42_plugins.x42_meter_0,extra
com.x42_plugins.x42_meter_1,extra
com.x42_plugins.x42_meter_10,extra
com.x42_plugins.x42_meter_11,extra
com.x42_plugins.x42_meter_12,extra
com.x42_plugins.x42_meter_13,extra
com.x42_plugins.x42_meter_14,extra
com.x42_plugins.x42_meter_15,extra
com.x42_plugins.x42_meter_16,extra
com.x42_plugins.x42_meter_17,extra
com.x42_plugins.x42_meter_18,extra
com.x42_plugins.x42_meter_19,extra
com.x42_plugins.x42_meter_2,extra
com.x42_plugins.x42_meter_3,extra
com.x42_plugins.x42_meter_4,extra
com.x42_plugins.x42_meter_5,extra
com.x42_plugins.x42_meter_6,extra
com.x42_plugins.x42_meter_7,extra
com.x42_plugins.x42_meter_8,extra
com.x42_plugins.x42_meter_9,extra
com.x42_plugins.x42_mixtri,extra
com.x42_plugins.x42_phaserotate,extra
com.x42_plugins.x42_scope,extra
com.x42_plugins.x42_spectr,extra
com.x42_plugins.x42_stepseq,extra
com.x42_plugins.x42_tuna_0,extra
com.x42_plugins.x42_tuna_1,extra
com.zamaudio.zamautosat,extra
com.zamaudio.zamaximx2,extra
com.zamaudio.zamcomp,extra
com.zamaudio.zamcompx2,extra
com.zamaudio.zamdelay,extra
com.zamaudio.zamdynamiceq,extra
com.zamaudio.zameq2,extra
com.zamaudio.zamgate,extra
com.zamaudio.zamgatex2,extra
com.zamaudio.zamgeq31,extra
